iter	Passed	Remaining
404	9018	13248
405	9079	13284
406	9115	13280
407	9139	13261
408	9159	13235
409	9183	13214
410	9209	13197
411	9231	13174
412	9251	13149
413	9270	13122
414	9292	13098
415	9317	13079
416	9338	13055
417	9354	13025
418	9374	12998
419	9395	12975
420	9416	12950
421	9437	12925
422	9444	12882
423	9464	12856
424	9512	12870
425	9562	12885
426	9593	12874
427	9626	12864
428	9646	12839
429	9667	12814
430	9688	12790
431	9708	12764
432	9728	12739
433	9747	12712
434	9761	12678
435	9781	12653
436	9801	12627
437	9821	12602
438	9841	12577
439	9862	12551
440	9881	12525
441	9912	12514
442	9934	12490
443	9956	12468
444	9980	12447
445	10020	12447
446	10080	12470
447	10118	12467
448	10144	12449
449	10168	12427
450	10187	12401
451	10207	12375
452	10227	12350
453	10244	12320
454	10264	12294
455	10284	12269
456	10305	12244
457	10326	12220
458	10346	12195
459	10369	12172
460	10390	12148
461	10410	12122
462	10431	12099
463	10452	12074
464	10493	12073
465	10523	12058
466	10567	12061
467	10589	12038
468	10624	12028
469	10649	12009
470	10670	11984
471	10690	11959
472	10711	11934
473	10729	11906
474	10748	11879
475	10768	11854
476	10790	11831
477	10811	11806
478	10832	11781
479	10854	11759
480	10875	11734
481	10896	11710
482	10917	11686
483	10938	11661
484	10960	11638
485	10992	11625
486	11022	11610
487	11075	11619
488	11104	11604
489	11124	11578
490	11134	11542
491	11159	11522
492	11179	11496
493	11209	11481
494	11229	11456
495	11249	11431
496	11269	11405
497	11288	11379
498	11316	11361
499	11338	11338
500	11357	11312
501	11377	11286
502	11396	11260
503	11418	11236
504	11440	11213
505	11459	11188
506	11489	11172
507	11564	11200
508	11601	11191
509	11622	11166
510	11641	11139
511	11661	11115
512	11682	11090
513	11707	11069
514	11727	11044
515	11746	11018
516	11771	10996
517	11791	10972
518	11811	10946
519	11839	10928
520	11860	10904
521	11880	10879
522	11904	10857
523	11932	10839
524	11954	10816
525	11993	10808
526	12014	10783
527	12067	10788
528	12097	10771
529	12130	10757
530	12152	10733
531	12172	10708
532	12191	10681
533	12211	10656
534	12241	10639
535	12268	10620
536	12288	10594
537	12313	10573
538	12347	10560
539	12379	10545
540	12392	10514
541	12412	10488
542	12432	10463
543	12454	10439
544	12478	10417
545	12512	10404
546	12562	10403
547	12583	10378
548	12619	10366
549	12643	10344
550	12665	10320
551	12686	10296
552	12705	10270
553	12726	10245
554	12747	10220
555	12768	10196
556	12788	10171
557	12809	10146
558	12831	10122
559	12852	10098
560	12872	10072
561	12896	10050
562	12925	10032
563	12946	10008
564	12968	9984
565	13008	9974
566	13061	9974
567	13097	9961
568	13118	9936
569	13140	9913
570	13160	9887
571	13182	9863
572	13207	9842
573	13229	9818
574	13250	9793
575	13270	9768
576	13297	9748
577	13319	9724
578	13340	9700
579	13350	9667
580	13371	9642
581	13387	9614
582	13409	9591
583	13429	9566
584	13455	9545
585	13500	9537
586	13550	9533
587	13580	9515
588	13616	9501
589	13640	9478
590	13654	9449
591	13675	9424
592	13701	9404
593	13725	9381
594	13743	9354
595	13767	9332
596	13786	9306
597	13806	9281
598	13833	9260
599	13860	9240
600	13882	9216
601	13910	9196
602	13933	9173
603	13968	9158
604	14006	9144
605	14065	9145
606	14104	9132
607	14131	9110
608	14151	9085
609	14171	9060
610	14191	9035
611	14211	9010
612	14242	8991
613	14263	8966
614	14282	8941
615	14303	8916
616	14322	8890
617	14341	8865
618	14361	8839
619	14381	8814
620	14400	8788
621	14420	8763
622	14441	8739
623	14463	8715
624	14503	8702
625	14574	8707
626	14609	8690
627	14630	8666
628	14649	8640
629	14666	8613
630	14708	8601
631	14728	8576
632	14749	8551
633	14777	8530
634	14800	8507
635	14817	8480
636	14837	8455
637	14860	8431
638	14878	8405
639	14903	8382
640	14924	8358
641	14966	8345
642	15011	8334
643	15035	8311
644	15086	8303
645	15113	8282
646	15136	8258
647	15163	8236
648	15186	8213
649	15206	8188
650	15228	8163
651	15242	8135
652	15261	8109
653	15283	8085
654	15308	8063
655	15330	8039
656	15359	8018
657	15382	7995
658	15407	7972
659	15429	7948
660	15463	7930
661	15494	7911
662	15522	7890
663	15569	7878
664	15590	7853
665	15613	7830
666	15640	7808
667	15662	7784
668	15688	7762
669	15714	7739
670	15735	7715
671	15755	7690
672	15776	7665
673	15796	7640
674	15816	7615
675	15836	7590
676	15856	7565
677	15866	7535
678	15886	7510
679	15912	7488
680	15937	7465
681	15994	7457
682	16039	7444
683	16079	7428
684	16114	7410
685	16135	7385
686	16156	7360
687	16177	7336
688	16197	7311
689	16218	7286
690	16237	7261
691	16258	7236
692	16287	7215
693	16316	7194
694	16337	7169
695	16361	7146
696	16383	7122
697	16412	7101
698	16435	7077
699	16464	7056
700	16506	7040
701	16552	7026
702	16580	7005
703	16605	6982
704	16633	6959
705	16658	6937
706	16678	6912
707	16698	6886
708	16718	6861
709	16744	6839
710	16767	6815
711	16787	6790
712	16809	6766
713	16829	6741
714	16849	6716
715	16871	6691
716	16900	6670
717	16925	6647
718	16945	6622
719	16967	6598
720	17007	6581
721	17054	6566
722	17086	6546
723	17114	6524
724	17134	6499
725	17159	6476
726	17189	6454
727	17214	6431
728	17235	6407
729	17256	6382
730	17286	6361
731	17306	6336
732	17327	6311
733	17348	6287
734	17375	6264
735	17400	6241
736	17424	6217
737	17446	6193
738	17474	6171
739	17541	6163
740	17569	6141
741	17598	6119
742	17620	6094
743	17641	6070
744	17669	6047
745	17690	6023
746	17710	5998
747	17731	5973
748	17751	5948
749	17777	5925
750	17797	5900
751	17815	5875
752	17835	5850
753	17855	5825
754	17875	5800
755	17894	5775
756	17915	5751
757	17935	5726
758	17955	5701
759	17990	5681
760	18044	5666
761	18079	5646
762	18101	5622
763	18120	5597
764	18140	5572
765	18160	5547
766	18179	5522
767	18199	5497
768	18217	5472
769	18236	5447
770	18255	5422
771	18275	5397
772	18295	5372
773	18315	5347
774	18335	5323
775	18355	5298
776	18379	5274
777	18400	5250
778	18420	5225
779	18440	5201
780	18462	5177
781	18507	5159
782	18586	5150
783	18613	5128
784	18632	5103
785	18651	5078
786	18671	5053
787	18692	5028
788	18711	5003
789	18731	4979
790	18751	4954
791	18770	4929
792	18790	4905
793	18810	4880
794	18831	4855
795	18851	4831
796	18870	4806
797	18891	4782
798	18939	4764
799	18963	4740
800	19023	4726
801	19061	4705
802	19094	4684
803	19115	4659
804	19141	4636
805	19164	4612
806	19186	4588
807	19210	4564
808	19231	4540
809	19251	4515
810	19269	4490
811	19289	4466
812	19312	4442
813	19332	4417
814	19351	4392
815	19370	4367
816	19393	4343
817	19412	4319
818	19433	4294
819	19455	4270
820	19523	4256
821	19554	4234
822	19588	4212
823	19611	4188
824	19630	4164
825	19661	4141
826	19685	4117
827	19707	4093
828	19726	4069
829	19746	4044
830	19764	4019
831	19784	3994
832	19805	3970
833	19825	3946
834	19845	3921
835	19865	3897
836	19885	3872
837	19906	3848
838	19925	3823
839	19948	3799
840	19993	3779
841	20049	3762
842	20086	3740
843	20111	3717
844	20131	3692
845	20162	3670
846	20186	3646
847	20209	3622
848	20228	3597
849	20247	3573
850	20275	3550
851	20298	3526
852	20317	3501
853	20336	3476
854	20362	3453
855	20381	3428
856	20401	3404
857	20421	3379
858	20440	3355
859	20459	3330
860	20526	3313
861	20563	3292
862	20595	3269
863	20635	3248
864	20655	3223
865	20674	3199
866	20693	3174
867	20712	3149
868	20740	3126
869	20766	3103
870	20787	3078
871	20813	3055
872	20836	3031
873	20856	3006
874	20876	2982
875	20905	2959
876	20929	2935
877	20954	2911
878	21002	2891
879	21049	2870
880	21086	2848
881	21106	2823
882	21133	2800
883	21153	2775
884	21172	2751
885	21193	2726
886	21216	2702
887	21239	2678
888	21268	2655
889	21290	2631
890	21319	2608
891	21341	2583
892	21361	2559
893	21383	2535
894	21404	2511
895	21424	2486
896	21445	2462
897	21519	2444
898	21549	2421
899	21574	2397
900	21595	2372
901	21616	2348
902	21635	2324
903	21655	2299
904	21675	2275
905	21696	2251
906	21717	2226
907	21738	2202
908	21758	2178
909	21779	2154
910	21801	2129
911	21822	2105
912	21843	2081
913	21864	2057
914	21884	2032
915	21903	2008
916	21923	1984
917	21949	1960
918	21996	1938
919	22039	1916
920	22063	1892
921	22094	1869
922	22114	1844
923	22139	1820
924	22160	1796
925	22182	1772
926	22203	1748
927	22221	1724
928	22241	1699
929	22261	1675
930	22282	1651
931	22301	1627
932	22322	1603
933	22343	1578
934	22370	1555
935	22390	1530
936	22416	1507
937	22439	1483
938	22478	1460
939	22529	1438
940	22568	1415
941	22591	1390
942	22614	1366
943	22634	1342
944	22652	1318
945	22694	1295
946	22715	1271
947	22733	1247
948	22754	1222
949	22774	1198
950	22794	1174
951	22814	1150
952	22834	1126
953	22854	1102
954	22875	1077
955	22902	1054
956	22927	1030
957	22968	1006
958	22993	983
959	23052	960
960	23086	936
961	23107	912
962	23128	888
963	23148	864
964	23167	840
965	23188	816
966	23210	792
967	23238	768
968	23260	744
969	23281	720
970	23300	695
971	23321	671
972	23341	647
973	23362	623
974	23382	599
975	23404	575
976	23433	551
977	23455	527
978	23494	503
979	23552	480
980	23577	456
981	23602	432
982	23622	408
983	23647	384
984	23667	360
985	23690	336
986	23710	312
987	23730	288
988	23751	264
989	23771	240
990	23790	216
991	23811	192
992	23835	168
993	23856	144
994	23876	119
995	23895	95
996	23915	71
997	23939	47
998	23959	23
999	24019	0
